route_key,route_name,source_file,last_updated
meitetsuGamagoriLine,名鉄蒲郡線,chubu-meitetsu-more.ts,2026-05-18
meitetsuKowaLine,名鉄河和線,chubu-meitetsu-more.ts,2026-05-18
jrTakehoyLine,JR武豊線,chubu-meitetsu-more.ts,2026-05-18
meitetsuChitaShinLine,名鉄知多新線,chubu-meitetsu-more.ts,2026-05-18
meitetsuMikawaKaisen,名鉄三河線（海線）,chubu-meitetsu-more.ts,2026-05-18
meitetsuMikawaYamasen,名鉄三河線（山線）,chubu-meitetsu-more.ts,2026-05-18
tobuOgoseLine,東武越生線,kanto-private-more2.ts,2026-05-18
seibuChichibuLine,西武秩父線,kanto-private-more2.ts,2026-05-18
jomotetsudo,上毛電気鉄道,kanto-private-more2.ts,2026-05-18
watarasekeikoku,わたらせ渓谷鐵道,kanto-private-more2.ts,2026-05-18
mookaRailway,真岡鐵道,kanto-private-more2.ts,2026-05-18
kotohiraLongLine,高松琴平電鉄長尾線,shikoku-more2.ts,2026-05-18
kotohiraShidoLine,高松琴平電鉄志度線,shikoku-more2.ts,2026-05-18
tosaCuroshioSukumo,土佐くろしお鉄道宿毛線,shikoku-more2.ts,2026-05-18
jrMugiLineSouth,JR牟岐線（阿南〜海部）,shikoku-more2.ts,2026-05-18
jrTokushimaLineWest,JR徳島線（西部）,shikoku-more2.ts,2026-05-18
jrKesennumaLine,JR気仙沼線,tohoku-more2.ts,2026-05-18
sendaiAirportRailway,仙台空港鉄道,tohoku-more2.ts,2026-05-18
jrOofunatoLine,JR大船渡線,tohoku-more2.ts,2026-05-18
jrYamadaLine,JR山田線,tohoku-more2.ts,2026-05-18
echigotokimekiHisui,えちごトキめき鉄道日本海ひすいライン,hokuriku-more.ts,2026-05-18
echigotokimekiMyoko,えちごトキめき鉄道妙高はねうまライン,hokuriku-more.ts,2026-05-18
ainokaze,あいの風とやま鉄道,hokuriku-more.ts,2026-05-18
irIshikawaRailway,IRいしかわ鉄道,hokuriku-more.ts,2026-05-18
kurobe,黒部峡谷鉄道,hokuriku-more.ts,2026-05-18
hankyuItamiLine,阪急伊丹線,kinki-private-more4.ts,2026-05-18
hankyuMinooLine,阪急箕面線,kinki-private-more4.ts,2026-05-18
kintetsuTenriLine,近鉄天理線,kinki-private-more4.ts,2026-05-18
kintetsuDoumyojiLine,近鉄道明寺線,kinki-private-more4.ts,2026-05-18
kintetsuNaganoLine,近鉄長野線,kinki-private-more4.ts,2026-05-18
osakaMidosujiMain,大阪メトロ御堂筋線,kinki-private-more4.ts,2026-05-18
jrEtsugoLine,JR越後線,niigata-nagano-lines.ts,2026-05-18
jrShinetsuNiigata,JR信越本線（新潟〜柏崎）,niigata-nagano-lines.ts,2026-05-18
hokuetsukyu,北越急行ほくほく線,niigata-nagano-lines.ts,2026-05-18
